Product Name,Category,Total Quantity Sold,Average Unit Price,Total Revenue
Family Mega Pack Water,package,7,1900.000000,13300.00
Office Starter Pack,package,6,1400.000000,8400.00
Party Pack - Mixed,package,2,3500.000000,7000.00
Iced Tea - Lemon,beverage,48,140.000000,6720.00
Mineral Water - Still,bottled_water,36,180.000000,6480.00
Sparkling Water - Berry,bottled_water,73,80.000000,5840.00
Tropical Punch,beverage,24,160.000000,3840.00
Sparkling Water - Limes,bottled_water,48,75.000000,3600.00
Office Pack Water,package,3,1000.000000,3000.00
Fruit Juice - Apple,beverage,20,150.000000,3000.00
Fruit Juice - Orange,beverage,20,150.000000,3000.00
Pure Life Water,bottled_water,40,70.000000,2800.00
Family Pack Water,package,5,550.000000,2750.00
Pure Life Water,bottled_water,50,50.000000,2500.00
Natural Spring Water,bottled_water,60,40.000000,2400.00
